HIP     Vmag    RA             DE       Plx     pmRA     pmDE   e_Plx   B-V
2       9.27    0.003797    -19.498837  21.90   181.21  -0.93   3.10    0.999
38      8.65    0.111047    -79.061831  23.84   162.30  -62.40  0.78    0.778
47      10.78   0.135192    -56.835248  24.45   -44.21  -145.90 1.97    1.150
54      10.57   0.151656    17.968956   20.97   367.14  -19.49  1.71    1.030
74      9.93    0.221873    35.752722   24.22   157.73  -40.31  1.36    1.068
81      8.57    0.243864    -4.932115   23.43   -184.70 -172.67 1.28    0.642
110     8.61    0.348708    39.610818   20.42   -29.92  -41.34  1.91    0.787
135     8.64    0.426746    -0.217499   20.10   20.73   -114.08 1.22    0.620
143     10.35   0.455182    21.462138   20.05   177.97  150.19  1.64    1.033
149     11.26   0.478685    26.005577   22.92   -309.64 -628.61 2.17    0.932
191     12.43   0.612287    -46.028841  22.98   192.39  -22.43  4.38    1.490
223     7.17    0.696411    2.130376    21.58   62.25   -91.23  1.65    0.617
305     7.66    0.972063    -28.393769  20.44   88.62   -17.68  0.96    0.741
350     10.37   1.099309    -57.322875  21.14   -36.89  74.23   1.62    1.100
351     9.80    1.102623    -47.068130  22.52   293.22  33.72   1.48    0.855
407     8.13    1.244275    -70.212207  22.09   52.32   -97.72  0.71    0.710
420     7.53    1.281668    -52.151423  23.90   -110.55 -130.74 0.85    0.577
460     9.13    1.369764    22.224675   22.20   169.54  -75.17  1.14    0.735
475     8.22    1.423333    58.313656   21.03   65.98   -162.94 1.06    0.636
490     7.51    1.468617    -41.752882  24.85   97.62   -76.40  0.92    0.595
606     7.06    1.843365    -25.356324  20.63   210.67  -133.54 0.91    0.463
641     7.82    1.966150    55.577019   21.83   203.33  8.74    0.84    0.610
731     11.65   2.261459    27.651239   22.50   223.28  146.63  2.96    1.260
754     7.78    2.315143    25.282317   22.07   174.95  -146.75 2.31    0.680
765     3.88    2.352249    -45.746988  23.28   122.15  -180.13 0.98    1.013
787     9.53    2.431558    -31.824939  23.86   404.05  -232.85 1.59    0.965
898     11.55   2.768701    5.208681    24.32   240.97  61.14   3.25    1.395
924     8.97    2.878592    -49.629210  20.86   -44.77  -36.75  2.16    0.807
933     10.03   2.898287    7.121510    21.87   -25.40  -7.96   24.76   1.293
943     8.61    2.906145    10.328456   20.55   -37.34  -50.44  1.21    0.643
999     8.44    3.125492    14.563696   24.69   321.76  -71.31  1.20    0.739
1003    8.66    3.136756    -30.859290  21.09   -13.63  -225.06 1.23    0.743
1055    10.41   3.287636    20.382416   24.96   223.65  5.88    2.95    1.360
1113    8.76    3.470117    -74.688172  22.86   84.14   -47.52  0.87    0.743
1119    9.42    3.499989    -10.953703  24.14   173.49  12.28   1.58    0.962
1128    8.36    3.517613    -11.311118  23.68   423.96  -192.91 1.19    0.645
1134    7.32    3.542473    -7.198962   21.66   102.84  -66.51  1.17    0.521
1140    6.66    3.561294    -55.069591  21.62   -2.89   -29.25  0.68    0.462
1144    7.42    3.584257    -27.531079  20.23   -28.31  -144.53 1.20    0.640
1148    8.51    3.588865    60.341631   22.51   182.08  27.46   1.49    0.730
1206    8.57    3.768990    -68.530233  22.90   47.78   54.59   0.93    0.695
1294    8.79    4.047722    30.532484   23.91   192.81  38.43   1.17    0.965
1308    11.06   4.101227    -46.719862  21.82   201.19  10.94   2.32    1.258
1334    10.01   4.179702    20.856663   23.92   383.12  13.01   1.54    0.950
1389    10.51   4.342874    18.859565   23.30   533.20  -26.87  3.17    1.310
1398    11.36   4.375348    -47.433230  24.12   197.08  -71.95  2.91    1.220
1399    11.30   4.376308    -59.951065  22.54   113.20  -40.25  2.33    1.400
1402    6.46    4.386210    -19.051086  20.47   20.45   -2.36   0.89    0.386
1406    10.83   4.387165    24.667857   20.51   157.85  -13.58  12.73   1.249
1407    11.30   4.401851    -64.378590  21.80   160.91  -88.19  1.97    1.310
1427    7.21    4.457699    16.331082   21.66   220.65  -28.23  0.87    0.477
1473    4.51    4.582106    36.785327   23.11   -66.51  -42.48  0.68    0.054
1481    7.46    4.608357    -63.477351  24.42   90.37   -58.98  0.68    0.537
1573    7.03    4.901928    -7.223676   21.59   24.21   -142.03 0.98    0.508
1686    5.16    5.280108    37.968700   20.42   58.32   -39.65  0.73    0.442
1719    9.65    5.398303    -66.476721  23.22   255.13  161.13  1.02    0.835
1771    11.21   5.604551    6.668109    20.26   185.86  -229.39 2.65    1.470
1779    8.59    5.644953    -73.032244  22.53   -8.25   -45.85  0.91    0.769
1807    9.83    5.735995    -52.525224  22.93   114.70  -474.54 1.42    0.848
1813    7.57    5.750338    22.375538   24.68   202.95  -220.85 0.90    0.639
1823    7.88    5.770342    -65.121016  21.66   -103.00 -52.69  1.22    0.579
1866    10.66   5.907064    -3.763358   20.90   250.60  -56.35  1.98    1.099
